sample	metabolite	concentration	conc_error
FM47	alanine	3.873006138	0.565393549
FM47	serine	1.26494999	0.336782151
FM47	proline	0.545646789	0.041933719
FM47	valine	0.826107143	0.123419797
FM47	threonine	0.82675187	0.051744115
FM47	leucine	0.871553543	0.176789122
FM47	isoleucine	0.560019424	0.103556609
FM47	aspartic acid	4.253984088	0.590319475
FM47	lysine	3.180768535	0.562457932
FM47	methionine	0.32832527	0.049239483
FM47	histidine	0.707931224	0.243814912
FM47	phenylalanine	0.330833009	0.081212097
FM47	arginine	0.980550405	0.071401354
FM47	tyrosine	0.735287285	0.050222864
FM47	cystine	0.258249346	0.039742689
FM47	tryptophan	0.305341761	0.041167795
FM47	glutamine	1.244423278	0.10674096
FM47	glutamic acid	25.12756116	1.975973136
FM42	alanine	0.546376252	0.054937163
FM42	serine	0.551295784	0.030135222
FM42	proline	0.150607316	0.001421589
FM42	valine	0.16086972	0.016364996
FM42	threonine	0.246673957	0.015377034
FM42	leucine	0.26018082	0.014425254
FM42	isoleucine	0.08629968	0.0235543
FM42	aspartic acid	0.684622823	0.04011048
FM42	lysine	0.313452972	0.011745852
FM42	methionine	0.114681214	0.003415876
FM42	histidine	0.028051829	0.002829357
FM42	phenylalanine	0.041480242	0.006428423
FM42	arginine	0.22336306	0.005470166
FM42	tyrosine	0.045267465	0.000939259
FM42	cystine	0.051043904	0.000863007
FM42	tryptophan	0.034277561	0.006235394
FM42	glutamine	1.289468462	0.160627261
FM42	glutamic acid	17.14853109	1.247896211
