temperature,scan.name,data.type,scan.well,absorbance,wavelength,time,minutes
22.8,kinetic > 1hr,Kinetic,A1,0.3285,412,0:00,0
22.8,kinetic > 1hr,Kinetic,A2,0.5401,412,0:00,0
22.8,kinetic > 1hr,Kinetic,B1,0.4411,412,0:00,0
22.8,kinetic > 1hr,Kinetic,B2,0.7028,412,0:00,0
22.8,kinetic > 1hr,Kinetic,C1,0.7925,412,0:00,0
22.8,kinetic > 1hr,Kinetic,C2,0.1084,412,0:00,0
22.8,kinetic > 1hr,Kinetic,D1,0.3583,412,0:00,0
22.8,kinetic > 1hr,Kinetic,D2,0.5583,412,0:00,0
22.8,kinetic > 1hr,Kinetic,E1,0.2831,412,0:00,0
22.8,kinetic > 1hr,Kinetic,E2,0.4048,412,0:00,0
22.8,kinetic > 1hr,Kinetic,F1,0.6023,412,0:00,0
22.8,kinetic > 1hr,Kinetic,F2,0.5646,412,0:00,0
22.8,kinetic > 1hr,Kinetic,G1,0.3207,412,0:00,0
22.8,kinetic > 1hr,Kinetic,G2,0.1041,412,0:00,0
22.8,kinetic > 1hr,Kinetic,H1,0.3723,412,0:00,0
22.8,kinetic > 1hr,Kinetic,H2,0.6192,412,0:00,0
23.4,kinetic > 1hr,Kinetic,A1,0.3646,412,12:00,12
23.4,kinetic > 1hr,Kinetic,A2,0.4131,412,12:00,12
23.4,kinetic > 1hr,Kinetic,B1,0.4619,412,12:00,12
23.4,kinetic > 1hr,Kinetic,B2,0.6919,412,12:00,12
23.4,kinetic > 1hr,Kinetic,C1,0.5891,412,12:00,12
23.4,kinetic > 1hr,Kinetic,C2,0.0952,412,12:00,12
23.4,kinetic > 1hr,Kinetic,D1,0.456,412,12:00,12
23.4,kinetic > 1hr,Kinetic,D2,0.594,412,12:00,12
23.4,kinetic > 1hr,Kinetic,E1,0.2969,412,12:00,12
23.4,kinetic > 1hr,Kinetic,E2,0.3517,412,12:00,12
23.4,kinetic > 1hr,Kinetic,F1,0.6162,412,12:00,12
23.4,kinetic > 1hr,Kinetic,F2,0.5665,412,12:00,12
23.4,kinetic > 1hr,Kinetic,G1,0.5885,412,12:00,12
