purification.plate,purification row,purification col,well position,purification well,source flask,mL culture,uL resin,mM NaCl for lysis and wash,uL 0mM NaCl lysis buffer,uL 500mM NaCl lysis buffer,mM NaCl in lysis and first two washes,mM NaCl in last 2 washes,purpose,resin to use,discard,discard reason,,uL Co-NTA required,% slurry,uL slurry to add,uL slurry added,uL Ni-NTA required,OD NanoDrop at harvest,mM NaCl in lysis and first two washes,replace well with,move cells to,add in,uL elution
20,A,1,A1,20A1,1,0.4,10,0,200,0,0,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,B,1,B1,20B1,1,0.8,10,0,200,0,0,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,C,1,C1,20C1,1,1.5,10,0,200,0,0,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,D,1,D1,20D1,1,2.2,10,0,200,0,0,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,E,1,E1,20E1,1,0.4,20,0,200,0,0,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,F,1,F1,20F1,1,0.8,20,0,200,0,0,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,G,1,G1,20G1,1,1.5,20,0,200,0,0,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,H,1,H1,20H1,1,2.2,20,0,200,0,0,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,A,2,A2,20A2,1,0.4,30,0,200,0,0,0,,Co-NTA,,,,30,20,150,30,,,,,,,
20,B,2,B2,20B2,1,0.8,30,0,200,0,0,0,,Co-NTA,,,,30,20,150,30,,,,,,,
20,C,2,C2,20C2,1,1.5,30,0,200,0,0,0,,Co-NTA,,,,30,20,150,30,,,,,,,
20,D,2,D2,20D2,1,2.2,30,0,200,0,0,0,,Co-NTA,,,,30,20,150,30,,,,,,,
20,E,2,E2,20E2,1,0.4,40,0,200,0,0,0,,Co-NTA,,,,40,20,200,40,,,,,,,
20,F,2,F2,20F2,1,0.8,40,0,200,0,0,0,,Co-NTA,,,,40,20,200,40,,,,,,,
20,G,2,G2,20G2,1,1.5,40,0,200,0,0,0,,Co-NTA,,,,40,20,200,40,,,,,,,
20,H,2,H2,20H2,1,2.2,40,0,200,0,0,0,,Co-NTA,,,,40,20,200,40,,,,,,,
20,A,3,A3,20A3,1,0.4,10,100,160,40,100,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,B,3,B3,20B3,1,0.8,10,100,160,40,100,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,C,3,C3,20C3,1,1.5,10,100,160,40,100,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,D,3,D3,20D3,1,2.2,10,100,160,40,100,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,E,3,E3,20E3,1,0.4,20,100,160,40,100,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,F,3,F3,20F3,1,0.8,20,100,160,40,100,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,G,3,G3,20G3,1,1.5,20,100,160,40,100,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,H,3,H3,20H3,1,2.2,20,100,160,40,100,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,A,4,A4,20A4,1,0.4,30,100,160,40,100,0,,Co-NTA,,,,30,20,150,30,,,,,,,
20,B,4,B4,20B4,1,0.8,30,100,160,40,100,0,,Co-NTA,,,,30,20,150,30,,,,,,,
20,C,4,C4,20C4,1,1.5,30,100,160,40,100,0,,Co-NTA,,,,30,20,150,30,,,,,,,
20,D,4,D4,20D4,1,2.2,30,100,160,40,100,0,,Co-NTA,,,,30,20,150,30,,,,,,,
20,E,4,E4,20E4,1,0.4,40,100,160,40,100,0,,Co-NTA,,,,40,20,200,40,,,,,,,
20,F,4,F4,20F4,1,0.8,40,100,160,40,100,0,,Co-NTA,,,,40,20,200,40,,,,,,,
20,G,4,G4,20G4,1,1.5,40,100,160,40,100,0,,Co-NTA,,,,40,20,200,40,,,,,,,
20,H,4,H4,20H4,1,2.2,40,100,160,40,100,0,,Co-NTA,,,,40,20,200,40,,,,,,,
20,A,5,A5,20A5,1,0.4,10,300,80,120,300,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,B,5,B5,20B5,1,0.8,10,300,80,120,300,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,C,5,C5,20C5,1,1.5,10,300,80,120,300,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,D,5,D5,20D5,1,2.2,10,300,80,120,300,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,E,5,E5,20E5,1,0.4,20,300,80,120,300,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,F,5,F5,20F5,1,0.8,20,300,80,120,300,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,G,5,G5,20G5,1,1.5,20,300,80,120,300,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,H,5,H5,20H5,1,2.2,20,300,80,120,300,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,A,6,A6,20A6,1,0.4,30,300,80,120,300,0,,Co-NTA,,,,30,20,150,30,,,,,,,
20,B,6,B6,20B6,1,0.8,30,300,80,120,300,0,,Co-NTA,,,,30,20,150,30,,,,,,,
20,C,6,C6,20C6,1,1.5,30,300,80,120,300,0,,Co-NTA,,,,30,20,150,30,,,,,,,
20,D,6,D6,20D6,1,2.2,30,300,80,120,300,0,,Co-NTA,,,,30,20,150,30,,,,,,,
20,E,6,E6,20E6,1,0.4,30,300,80,120,300,0,,Co-NTA,,,,30,20,150,30,,,,,,,
20,F,6,F6,20F6,1,0.8,30,300,80,120,300,0,,Co-NTA,,,,30,20,150,30,,,,,,,
20,G,6,G6,20G6,1,1.5,30,300,80,120,300,0,,Co-NTA,,,,30,20,150,30,,,,,,,
20,H,6,H6,20H6,1,2.2,30,300,80,120,300,0,,Co-NTA,,,,30,20,150,30,,,,,,,
20,A,7,A7,20A7,1,0.4,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,B,7,B7,20B7,1,0.8,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,C,7,C7,20C7,1,1.5,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,D,7,D7,20D7,1,2.2,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,E,7,E7,20E7,1,0.4,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,F,7,F7,20F7,1,0.8,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,G,7,G7,20G7,1,1.5,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,H,7,H7,20H7,1,2.2,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,A,8,A8,20A8,1,0.4,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,B,8,B8,20B8,1,0.8,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,C,8,C8,20C8,1,1.5,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
