"","row","rep","col","value","well"
"1","A",1,"1",0.3047,"A1"
"2","B",1,"1",0.0779,"B1"
"3","C",1,"1",0.0808,"C1"
"4","D",1,"1",0.0802,"D1"
"5","E",1,"1",0.0801,"E1"
"6","F",1,"1",0.2081,"F1"
"7","G",1,"1",0.2208,"G1"
"8","H",1,"1",0.08,"H1"
"9","A",2,"1",0.3006,"A1"
"10","B",2,"1",0.0778,"B1"
"11","C",2,"1",0.0806,"C1"
"12","D",2,"1",0.0801,"D1"
"13","E",2,"1",0.0799,"E1"
"14","F",2,"1",0.208,"F1"
"15","G",2,"1",0.2199,"G1"
"16","H",2,"1",0.0798,"H1"
"17","A",3,"1",0.2907,"A1"
"18","B",3,"1",0.078,"B1"
"19","C",3,"1",0.0805,"C1"
"20","D",3,"1",0.0802,"D1"
"21","E",3,"1",0.0799,"E1"
"22","F",3,"1",0.2081,"F1"
"23","G",3,"1",0.2195,"G1"
"24","H",3,"1",0.0799,"H1"
"25","A",4,"1",0.3113,"A1"
"26","B",4,"1",0.0778,"B1"
"27","C",4,"1",0.0806,"C1"
"28","D",4,"1",0.0801,"D1"
"29","E",4,"1",0.08,"E1"
"30","F",4,"1",0.2081,"F1"
"31","G",4,"1",0.2281,"G1"
"32","H",4,"1",0.0799,"H1"
"33","A",5,"1",0.2911,"A1"
"34","B",5,"1",0.0778,"B1"
"35","C",5,"1",0.0804,"C1"
"36","D",5,"1",0.0801,"D1"
"37","E",5,"1",0.0799,"E1"
"38","F",5,"1",0.208,"F1"
"39","G",5,"1",0.2235,"G1"
"40","H",5,"1",0.0799,"H1"
"41","A",1,"2",0.0862,"A2"
"42","B",1,"2",0.831,"B2"
"43","C",1,"2",0.7091,"C2"
"44","D",1,"2",0.2045,"D2"
"45","E",1,"2",0.6671,"E2"
"46","F",1,"2",0.4362,"F2"
"47","G",1,"2",0.1988,"G2"
"48","H",1,"2",0.2413,"H2"
"49","A",2,"2",0.0862,"A2"
"50","B",2,"2",0.8397,"B2"
"51","C",2,"2",0.7108,"C2"
"52","D",2,"2",0.2045,"D2"
"53","E",2,"2",0.6786,"E2"
"54","F",2,"2",0.4375,"F2"
"55","G",2,"2",0.1989,"G2"
"56","H",2,"2",0.2413,"H2"
"57","A",3,"2",0.0863,"A2"
"58","B",3,"2",0.8337,"B2"
"59","C",3,"2",0.7109,"C2"
"60","D",3,"2",0.2046,"D2"
"61","E",3,"2",0.6499,"E2"
"62","F",3,"2",0.4524,"F2"
"63","G",3,"2",0.1989,"G2"
"64","H",3,"2",0.2413,"H2"
"65","A",4,"2",0.0864,"A2"
"66","B",4,"2",0.8352,"B2"
"67","C",4,"2",0.7107,"C2"
"68","D",4,"2",0.2046,"D2"
"69","E",4,"2",0.6389,"E2"
"70","F",4,"2",0.4388,"F2"
"71","G",4,"2",0.199,"G2"
"72","H",4,"2",0.2413,"H2"
"73","A",5,"2",0.0863,"A2"
"74","B",5,"2",0.836,"B2"
"75","C",5,"2",0.7115,"C2"
"76","D",5,"2",0.2045,"D2"
"77","E",5,"2",0.64,"E2"
"78","F",5,"2",0.4374,"F2"
"79","G",5,"2",0.199,"G2"
"80","H",5,"2",0.2411,"H2"
"81","A",1,"3",0.1861,"A3"
"82","B",1,"3",0.6498,"B3"
"83","C",1,"3",0.6518,"C3"
"84","D",1,"3",0.5223,"D3"
"85","E",1,"3",0.2983,"E3"
"86","F",1,"3",0.3328,"F3"
"87","G",1,"3",0.3025,"G3"
"88","H",1,"3",0.3738,"H3"
"89","A",2,"3",0.1861,"A3"
"90","B",2,"3",0.6214,"B3"
"91","C",2,"3",0.6423,"C3"
"92","D",2,"3",0.6433,"D3"
"93","E",2,"3",0.3093,"E3"
"94","F",2,"3",0.3431,"F3"
"95","G",2,"3",0.3018,"G3"
"96","H",2,"3",0.3821,"H3"
"97","A",3,"3",0.1864,"A3"
"98","B",3,"3",0.6152,"B3"
"99","C",3,"3",0.6523,"C3"
"100","D",3,"3",0.5305,"D3"
"101","E",3,"3",0.306,"E3"
"102","F",3,"3",0.347,"F3"
"103","G",3,"3",0.3014,"G3"
"104","H",3,"3",0.3856,"H3"
"105","A",4,"3",0.1861,"A3"
"106","B",4,"3",0.63,"B3"
"107","C",4,"3",0.6323,"C3"
"108","D",4,"3",0.5444,"D3"
"109","E",4,"3",0.3124,"E3"
"110","F",4,"3",0.3559,"F3"
"111","G",4,"3",0.307,"G3"
"112","H",4,"3",0.4006,"H3"
"113","A",5,"3",0.1858,"A3"
"114","B",5,"3",0.5438,"B3"
"115","C",5,"3",0.6423,"C3"
"116","D",5,"3",0.5214,"D3"
"117","E",5,"3",0.3094,"E3"
"118","F",5,"3",0.3476,"F3"
"119","G",5,"3",0.3031,"G3"
"120","H",5,"3",0.3783,"H3"
"121","A",1,"4",0.2129,"A4"
"122","B",1,"4",0.5489,"B4"
"123","C",1,"4",0.6291,"C4"
"124","D",1,"4",0.2699,"D4"
"125","E",1,"4",0.3414,"E4"
"126","F",1,"4",0.1935,"F4"
"127","G",1,"4",0.401,"G4"
"128","H",1,"4",0.5162,"H4"
"129","A",2,"4",0.2129,"A4"
"130","B",2,"4",0.5485,"B4"
"131","C",2,"4",0.6294,"C4"
"132","D",2,"4",0.27,"D4"
"133","E",2,"4",0.3362,"E4"
"134","F",2,"4",0.1888,"F4"
"135","G",2,"4",0.4028,"G4"
"136","H",2,"4",0.5416,"H4"
"137","A",3,"4",0.2128,"A4"
"138","B",3,"4",0.5469,"B4"
"139","C",3,"4",0.6334,"C4"
"140","D",3,"4",0.2696,"D4"
"141","E",3,"4",0.3334,"E4"
"142","F",3,"4",0.1884,"F4"
"143","G",3,"4",0.4012,"G4"
"144","H",3,"4",0.5304,"H4"
"145","A",4,"4",0.2127,"A4"
"146","B",4,"4",0.548,"B4"
"147","C",4,"4",0.6298,"C4"
"148","D",4,"4",0.2688,"D4"
"149","E",4,"4",0.332,"E4"
"150","F",4,"4",0.1879,"F4"
"151","G",4,"4",0.3983,"G4"
"152","H",4,"4",0.5364,"H4"
"153","A",5,"4",0.2126,"A4"
"154","B",5,"4",0.5555,"B4"
"155","C",5,"4",0.6288,"C4"
"156","D",5,"4",0.2686,"D4"
"157","E",5,"4",0.3308,"E4"
"158","F",5,"4",0.1868,"F4"
"159","G",5,"4",0.4233,"G4"
"160","H",5,"4",0.5117,"H4"
"161","A",1,"5",0.1758,"A5"
"162","B",1,"5",0.4398,"B5"
"163","C",1,"5",0.2178,"C5"
"164","D",1,"5",0.3069,"D5"
"165","E",1,"5",0.1175,"E5"
"166","F",1,"5",0.1699,"F5"
"167","G",1,"5",0.4752,"G5"
"168","H",1,"5",0.441,"H5"
"169","A",2,"5",0.1758,"A5"
"170","B",2,"5",0.4376,"B5"
"171","C",2,"5",0.2177,"C5"
"172","D",2,"5",0.3071,"D5"
"173","E",2,"5",0.1171,"E5"
"174","F",2,"5",0.171,"F5"
"175","G",2,"5",0.4411,"G5"
"176","H",2,"5",0.4749,"H5"
"177","A",3,"5",0.1759,"A5"
"178","B",3,"5",0.4545,"B5"
"179","C",3,"5",0.2175,"C5"
"180","D",3,"5",0.3071,"D5"
"181","E",3,"5",0.1157,"E5"
"182","F",3,"5",0.1709,"F5"
"183","G",3,"5",0.4324,"G5"
"184","H",3,"5",0.5624,"H5"
"185","A",4,"5",0.176,"A5"
"186","B",4,"5",0.4394,"B5"
"187","C",4,"5",0.2179,"C5"
"188","D",4,"5",0.3074,"D5"
"189","E",4,"5",0.1157,"E5"
"190","F",4,"5",0.1709,"F5"
"191","G",4,"5",0.4025,"G5"
"192","H",4,"5",0.4699,"H5"
"193","A",5,"5",0.1759,"A5"
"194","B",5,"5",0.4443,"B5"
"195","C",5,"5",0.2168,"C5"
"196","D",5,"5",0.3073,"D5"
"197","E",5,"5",0.1157,"E5"
"198","F",5,"5",0.1705,"F5"
"199","G",5,"5",0.4059,"G5"
"200","H",5,"5",0.5098,"H5"
"201","A",1,"6",0.1441,"A6"
"202","B",1,"6",0.6204,"B6"
"203","C",1,"6",0.4692,"C6"
"204","D",1,"6",0.1775,"D6"
"205","E",1,"6",0.7789,"E6"
"206","F",1,"6",0.402,"F6"
"207","G",1,"6",0.3168,"G6"
"208","H",1,"6",0.4885,"H6"
"209","A",2,"6",0.1444,"A6"
"210","B",2,"6",0.6371,"B6"
"211","C",2,"6",0.4696,"C6"
"212","D",2,"6",0.1775,"D6"
"213","E",2,"6",0.8242,"E6"
"214","F",2,"6",0.4108,"F6"
"215","G",2,"6",0.3169,"G6"
"216","H",2,"6",0.5283,"H6"
"217","A",3,"6",0.1443,"A6"
"218","B",3,"6",0.6179,"B6"
"219","C",3,"6",0.4692,"C6"
"220","D",3,"6",0.1776,"D6"
"221","E",3,"6",0.7748,"E6"
"222","F",3,"6",0.4216,"F6"
"223","G",3,"6",0.3168,"G6"
"224","H",3,"6",0.6105,"H6"
"225","A",4,"6",0.1443,"A6"
"226","B",4,"6",0.6128,"B6"
"227","C",4,"6",0.4844,"C6"
"228","D",4,"6",0.1776,"D6"
"229","E",4,"6",0.8534,"E6"
"230","F",4,"6",0.4107,"F6"
"231","G",4,"6",0.3202,"G6"
"232","H",4,"6",0.5143,"H6"
"233","A",5,"6",0.1442,"A6"
"234","B",5,"6",0.6138,"B6"
"235","C",5,"6",0.4673,"C6"
"236","D",5,"6",0.18,"D6"
"237","E",5,"6",0.8181,"E6"
"238","F",5,"6",0.4854,"F6"
"239","G",5,"6",0.3162,"G6"
"240","H",5,"6",0.7723,"H6"
"241","A",1,"7",0.1064,"A7"
"242","B",1,"7",0.6707,"B7"
"243","C",1,"7",0.3144,"C7"
"244","D",1,"7",0.2125,"D7"
"245","E",1,"7",0.2262,"E7"
"246","F",1,"7",0.3725,"F7"
"247","G",1,"7",0.4905,"G7"
"248","H",1,"7",0.5227,"H7"
"249","A",2,"7",0.1064,"A7"
"250","B",2,"7",0.6673,"B7"
"251","C",2,"7",0.3142,"C7"
"252","D",2,"7",0.2125,"D7"
"253","E",2,"7",0.233,"E7"
"254","F",2,"7",0.3713,"F7"
"255","G",2,"7",0.5341,"G7"
"256","H",2,"7",0.5215,"H7"
"257","A",3,"7",0.1065,"A7"
"258","B",3,"7",0.6616,"B7"
"259","C",3,"7",0.3145,"C7"
"260","D",3,"7",0.2442,"D7"
"261","E",3,"7",0.2462,"E7"
"262","F",3,"7",0.3794,"F7"
"263","G",3,"7",0.5195,"G7"
"264","H",3,"7",0.5246,"H7"
"265","A",4,"7",0.1064,"A7"
"266","B",4,"7",0.7652,"B7"
"267","C",4,"7",0.3152,"C7"
"268","D",4,"7",0.2128,"D7"
"269","E",4,"7",0.2322,"E7"
"270","F",4,"7",0.3715,"F7"
"271","G",4,"7",0.5635,"G7"
"272","H",4,"7",0.5195,"H7"
"273","A",5,"7",0.1065,"A7"
"274","B",5,"7",0.6637,"B7"
"275","C",5,"7",0.3344,"C7"
"276","D",5,"7",0.2134,"D7"
"277","E",5,"7",0.2345,"E7"
"278","F",5,"7",0.3718,"F7"
"279","G",5,"7",0.5848,"G7"
"280","H",5,"7",0.5334,"H7"
"281","A",1,"8",0.2286,"A8"
"282","B",1,"8",0.2812,"B8"
"283","C",1,"8",0.3929,"C8"
"284","D",1,"8",0.1719,"D8"
"285","E",1,"8",0.4339,"E8"
"286","F",1,"8",0.5184,"F8"
"287","G",1,"8",0.3248,"G8"
"288","H",1,"8",0.1695,"H8"
"289","A",2,"8",0.2292,"A8"
"290","B",2,"8",0.281,"B8"
"291","C",2,"8",0.4153,"C8"
"292","D",2,"8",0.1719,"D8"
"293","E",2,"8",0.4304,"E8"
"294","F",2,"8",0.5229,"F8"
"295","G",2,"8",0.3224,"G8"
"296","H",2,"8",0.1698,"H8"
"297","A",3,"8",0.2293,"A8"
"298","B",3,"8",0.2808,"B8"
"299","C",3,"8",0.4176,"C8"
"300","D",3,"8",0.1718,"D8"
"301","E",3,"8",0.4281,"E8"
"302","F",3,"8",0.5185,"F8"
"303","G",3,"8",0.3227,"G8"
"304","H",3,"8",0.1694,"H8"
"305","A",4,"8",0.2295,"A8"
"306","B",4,"8",0.2808,"B8"
"307","C",4,"8",0.3934,"C8"
"308","D",4,"8",0.1718,"D8"
"309","E",4,"8",0.4282,"E8"
"310","F",4,"8",0.5246,"F8"
"311","G",4,"8",0.3229,"G8"
"312","H",4,"8",0.1694,"H8"
"313","A",5,"8",0.2294,"A8"
"314","B",5,"8",0.2807,"B8"
"315","C",5,"8",0.3947,"C8"
"316","D",5,"8",0.1717,"D8"
"317","E",5,"8",0.4498,"E8"
"318","F",5,"8",0.5266,"F8"
"319","G",5,"8",0.3227,"G8"
"320","H",5,"8",0.1691,"H8"
"321","A",1,"9",0.1747,"A9"
"322","B",1,"9",0.2396,"B9"
"323","C",1,"9",0.1253,"C9"
"324","D",1,"9",0.123,"D9"
"325","E",1,"9",0.1117,"E9"
"326","F",1,"9",0.4313,"F9"
"327","G",1,"9",0.4269,"G9"
"328","H",1,"9",0.3389,"H9"
"329","A",2,"9",0.1747,"A9"
"330","B",2,"9",0.2395,"B9"
"331","C",2,"9",0.1254,"C9"
"332","D",2,"9",0.1229,"D9"
"333","E",2,"9",0.1118,"E9"
"334","F",2,"9",0.4277,"F9"
"335","G",2,"9",0.4258,"G9"
"336","H",2,"9",0.3383,"H9"
"337","A",3,"9",0.1747,"A9"
"338","B",3,"9",0.2395,"B9"
"339","C",3,"9",0.1254,"C9"
"340","D",3,"9",0.1236,"D9"
"341","E",3,"9",0.1119,"E9"
"342","F",3,"9",0.4288,"F9"
"343","G",3,"9",0.4349,"G9"
"344","H",3,"9",0.3372,"H9"
"345","A",4,"9",0.1744,"A9"
"346","B",4,"9",0.2396,"B9"
"347","C",4,"9",0.1252,"C9"
"348","D",4,"9",0.1236,"D9"
"349","E",4,"9",0.1117,"E9"
"350","F",4,"9",0.4267,"F9"
"351","G",4,"9",0.4242,"G9"
"352","H",4,"9",0.3376,"H9"
"353","A",5,"9",0.1743,"A9"
"354","B",5,"9",0.2394,"B9"
"355","C",5,"9",0.1253,"C9"
"356","D",5,"9",0.1229,"D9"
"357","E",5,"9",0.1117,"E9"
"358","F",5,"9",0.4269,"F9"
"359","G",5,"9",0.4244,"G9"
"360","H",5,"9",0.3372,"H9"
"361","A",1,"10",0.2218,"A10"
"362","B",1,"10",0.2428,"B10"
"363","C",1,"10",0.8935,"C10"
"364","D",1,"10",0.5685,"D10"
"365","E",1,"10",0.8285,"E10"
"366","F",1,"10",0.202,"F10"
"367","G",1,"10",0.4652,"G10"
"368","H",1,"10",0.4838,"H10"
"369","A",2,"10",0.2218,"A10"
"370","B",2,"10",0.2429,"B10"
"371","C",2,"10",0.8946,"C10"
"372","D",2,"10",0.5698,"D10"
"373","E",2,"10",0.8284,"E10"
"374","F",2,"10",0.202,"F10"
"375","G",2,"10",0.4636,"G10"
"376","H",2,"10",0.4843,"H10"
"377","A",3,"10",0.2218,"A10"
"378","B",3,"10",0.2431,"B10"
"379","C",3,"10",0.8964,"C10"
"380","D",3,"10",0.5703,"D10"
"381","E",3,"10",0.8276,"E10"
"382","F",3,"10",0.2019,"F10"
"383","G",3,"10",0.4639,"G10"
"384","H",3,"10",0.4846,"H10"
"385","A",4,"10",0.2217,"A10"
"386","B",4,"10",0.243,"B10"
"387","C",4,"10",0.8967,"C10"
"388","D",4,"10",0.5724,"D10"
"389","E",4,"10",0.8276,"E10"
"390","F",4,"10",0.2019,"F10"
"391","G",4,"10",0.4642,"G10"
"392","H",4,"10",0.4852,"H10"
"393","A",5,"10",0.2216,"A10"
"394","B",5,"10",0.2428,"B10"
"395","C",5,"10",0.8968,"C10"
"396","D",5,"10",0.5711,"D10"
"397","E",5,"10",0.8273,"E10"
"398","F",5,"10",0.2019,"F10"
"399","G",5,"10",0.4644,"G10"
"400","H",5,"10",0.4854,"H10"
"401","A",1,"11",0.2323,"A11"
"402","B",1,"11",0.4874,"B11"
"403","C",1,"11",0.1586,"C11"
"404","D",1,"11",0.1631,"D11"
"405","E",1,"11",0.1008,"E11"
"406","F",1,"11",0.2244,"F11"
"407","G",1,"11",0.2475,"G11"
"408","H",1,"11",0.3075,"H11"
"409","A",2,"11",0.2323,"A11"
"410","B",2,"11",0.4877,"B11"
"411","C",2,"11",0.1587,"C11"
"412","D",2,"11",0.163,"D11"
"413","E",2,"11",0.1008,"E11"
"414","F",2,"11",0.2244,"F11"
"415","G",2,"11",0.2474,"G11"
"416","H",2,"11",0.3075,"H11"
"417","A",3,"11",0.2323,"A11"
"418","B",3,"11",0.4874,"B11"
"419","C",3,"11",0.1588,"C11"
"420","D",3,"11",0.163,"D11"
"421","E",3,"11",0.1009,"E11"
"422","F",3,"11",0.2246,"F11"
"423","G",3,"11",0.2473,"G11"
"424","H",3,"11",0.3074,"H11"
"425","A",4,"11",0.2321,"A11"
"426","B",4,"11",0.4875,"B11"
"427","C",4,"11",0.1588,"C11"
"428","D",4,"11",0.1631,"D11"
"429","E",4,"11",0.101,"E11"
"430","F",4,"11",0.2246,"F11"
"431","G",4,"11",0.2475,"G11"
"432","H",4,"11",0.3074,"H11"
"433","A",5,"11",0.2322,"A11"
"434","B",5,"11",0.4876,"B11"
"435","C",5,"11",0.1587,"C11"
"436","D",5,"11",0.163,"D11"
"437","E",5,"11",0.1009,"E11"
"438","F",5,"11",0.2244,"F11"
"439","G",5,"11",0.2473,"G11"
