Time(hh:mm:ss),Temperature(°C),1,2,3,4,5,6,7,8,9,10,11,12
0:00,25.6,0.3047,0.0862,0.1861,0.2129,0.1758,0.1441,0.1064,0.2286,0.1747,0.2218,0.2323,0.2203
,,0.0779,0.831,0.6498,0.5489,0.4398,0.6204,0.6707,0.2812,0.2396,0.2428,0.4874,0.5742
,,0.0808,0.7091,0.6518,0.6291,0.2178,0.4692,0.3144,0.3929,0.1253,0.8935,0.1586,0.3158
,,0.0802,0.2045,0.5223,0.2699,0.3069,0.1775,0.2125,0.1719,0.123,0.5685,0.1631,0.1685
,,0.0801,0.6671,0.2983,0.3414,0.1175,0.7789,0.2262,0.4339,0.1117,0.8285,0.1008,0.3507
,,0.2081,0.4362,0.3328,0.1935,0.1699,0.402,0.3725,0.5184,0.4313,0.202,0.2244,0.2252
,,0.2208,0.1988,0.3025,0.401,0.4752,0.3168,0.4905,0.3248,0.4269,0.4652,0.2475,0.4618
,,0.08,0.2413,0.3738,0.5162,0.441,0.4885,0.5227,0.1695,0.3389,0.4838,0.3075,0.5779
,,,,,,,,,,,,,
0:15,25.6,0.3006,0.0862,0.1861,0.2129,0.1758,0.1444,0.1064,0.2292,0.1747,0.2218,0.2323,0.2203
,,0.0778,0.8397,0.6214,0.5485,0.4376,0.6371,0.6673,0.281,0.2395,0.2429,0.4877,0.5748
,,0.0806,0.7108,0.6423,0.6294,0.2177,0.4696,0.3142,0.4153,0.1254,0.8946,0.1587,0.3158
,,0.0801,0.2045,0.6433,0.27,0.3071,0.1775,0.2125,0.1719,0.1229,0.5698,0.163,0.1685
,,0.0799,0.6786,0.3093,0.3362,0.1171,0.8242,0.233,0.4304,0.1118,0.8284,0.1008,0.3511
,,0.208,0.4375,0.3431,0.1888,0.171,0.4108,0.3713,0.5229,0.4277,0.202,0.2244,0.2252
,,0.2199,0.1989,0.3018,0.4028,0.4411,0.3169,0.5341,0.3224,0.4258,0.4636,0.2474,0.4615
,,0.0798,0.2413,0.3821,0.5416,0.4749,0.5283,0.5215,0.1698,0.3383,0.4843,0.3075,0.5776
